year,month,day,hour,minute,second,time step,wind,gyro x,gyro y,gyro z,accel x,accel y,accel z,mag x,mag y,mag z,temperature,pressure,altitude,humidity,r,g,b,vis,ir,uv
2020,9,16,11,13,16,0.01,0.00,-0.01,0.00,0.01,-9.33,-1.25,0.28,14.30,17.90,-131.60,30.33,969.82,368.06,21.90,29262,48637,47112,307,1139,0.27
2020,9,16,11,13,22,5.74,0.00,-0.01,0.00,0.01,-9.36,-0.65,0.59,13.60,13.90,-130.70,30.38,969.80,368.21,20.22,2762,2477,2584,302,1100,0.25
2020,9,16,11,13,27,5.74,0.00,-0.00,0.00,0.01,-9.36,-0.65,0.59,13.40,13.90,-132.10,30.44,969.83,367.92,19.66,2587,2306,2399,302,1101,0.24
2020,9,16,11,13,33,5.74,0.00,0.00,0.00,0.01,-9.37,-0.68,0.60,14.90,13.90,-131.30,30.49,969.80,368.23,20.00,2999,2675,2782,311,1205,0.29
2020,9,16,11,13,39,5.74,0.00,-0.01,0.00,0.01,-9.36,-0.66,0.63,12.80,14.50,-130.50,30.55,969.82,368.06,21.02,3029,2700,2808,312,1211,0.30
2020,9,16,11,13,45,5.74,0.00,-0.00,0.00,0.01,-9.37,-0.69,0.63,13.10,13.50,-130.70,30.63,969.85,367.80,23.12,3018,2679,2782,311,1213,0.29
2020,9,16,11,13,50,5.74,0.00,0.00,-0.00,0.01,-9.37,-0.67,0.61,12.70,13.90,-129.60,30.71,969.84,367.88,24.54,3005,2661,2761,312,1218,0.30
2020,9,16,11,13,56,5.74,0.00,0.00,0.01,0.01,-9.36,-0.69,0.61,13.70,15.40,-129.80,30.77,969.82,368.03,23.95,3010,2665,2765,314,1225,0.31
2020,9,16,11,14,2,5.74,0.00,0.00,0.00,0.01,-9.36,-0.68,0.63,13.70,13.70,-129.80,30.84,969.83,367.92,22.19,3000,2650,2749,314,1236,0.31
2020,9,16,11,14,8,5.74,0.00,0.00,0.01,0.01,-9.37,-0.70,0.63,12.90,14.40,-131.90,30.89,969.82,368.01,20.32,3000,2649,2747,315,1251,0.31
2020,9,16,11,14,13,5.74,0.00,-0.01,0.00,0.01,-9.36,-0.70,0.63,12.30,13.70,-131.30,30.95,969.81,368.12,19.32,3013,2660,2758,316,1270,0.32
2020,9,16,11,14,19,5.74,0.00,-0.00,0.00,0.01,-9.36,-0.69,0.63,11.90,13.10,-130.30,31.00,969.83,367.90,19.65,3011,2658,2757,318,1287,0.33
2020,9,16,11,14,25,5.74,0.00,-0.00,-0.00,0.01,-9.38,-0.70,0.62,13.80,13.40,-129.70,31.06,969.82,368.02,19.26,3013,2660,2758,320,1306,0.34
2020,9,16,11,14,31,5.74,0.00,-0.00,-0.00,0.01,-9.36,-0.69,0.61,12.70,13.90,-129.60,31.11,969.84,367.88,19.64,3016,2663,2762,324,1348,0.36
2020,9,16,11,14,36,5.74,0.00,-0.01,0.00,0.01,-9.36,-0.69,0.63,13.70,13.70,-131.40,31.15,969.84,367.82,19.81,3018,2667,2767,320,1314,0.34
2020,9,16,11,14,42,5.74,0.00,-0.00,0.00,0.01,-9.36,-0.69,0.65,12.00,13.20,-130.90,31.20,969.84,367.83,20.43,2991,2628,2723,318,1294,0.33
2020,9,16,11,14,48,5.74,0.00,0.00,0.00,0.01,-9.37,-0.70,0.64,12.10,13.90,-130.30,31.25,969.84,367.81,19.05,2983,2624,2720,318,1282,0.33
