EarthPod Sensor Log
Created: Mon Jul  6 04:24:23 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Mon Jul  6 04:24:25 2020,2.595,-40.0,41.232,28.2,96.687589843,1,0.020423892100192676,0.346,32.7,0
Mon Jul  6 04:24:33 2020,6.613,29.521,41.569,34.96,96.686636718,49,0.39271132617571447,0.541,31.38,0
Mon Jul  6 04:24:40 2020,6.26,29.574,40.744,18.26,96.687167968,1,0.008466453674121405,0.36,32.77,0
Mon Jul  6 16:45:38 2020,44457.239,29.616,43.18,781.76,96.691703125,8,9.537254439035227e-06,0.362,32.6,0
Mon Jul  6 16:45:45 2020,6.285,29.659,41.87,1305.6,96.692886718,10,0.0843277645186953,0.295,36.37,0
Mon Jul  6 16:45:52 2020,6.262,29.757,40.003,278.72,96.689765625,0,0.0,1.161,33.8,0
Mon Jul  6 16:45:59 2020,6.214,29.82,33.63,961.28,96.689828125,1,0.008529127775989699,0.555,34.35,0
Mon Jul  6 16:46:06 2020,6.206,29.893,30.418,1720.32,96.690636718,32,0.27328391878826935,0.423,34.77,0
Mon Jul  6 16:46:13 2020,6.213,30.002,29.586,1064.32,96.697566406,13,0.11089650732335425,0.257,39.07,0
Mon Jul  6 16:46:20 2020,6.211,30.105,31.013,1158.4,96.697722656,1,0.00853324746417646,0.124,43.32,0
Mon Jul  6 16:46:27 2020,6.216,30.238,33.395,1246.72,96.701230468,2,0.01705276705276705,0.12,44.13,0
Mon Jul  6 16:46:34 2020,6.215,30.362,33.509,1268.48,96.697304687,0,0.0,0.194,42.48,0
Mon Jul  6 16:46:41 2020,6.214,30.455,33.538,1301.76,96.694503906,0,0.0,0.159,43.67,0
Mon Jul  6 16:46:48 2020,6.212,30.548,31.465,1253.12,96.68815625,0,0.0,0.327,39.18,0
Mon Jul  6 16:46:55 2020,6.214,30.671,28.64,1306.88,96.69284375,0,0.0,0.376,37.31,0
Mon Jul  6 16:47:02 2020,6.213,30.8,29.09,1308.16,96.693113281,0,0.0,0.126,45.56,0
Mon Jul  6 16:47:09 2020,6.212,30.913,30.545,1264.64,96.692546875,0,0.0,0.218,43.23,0
Mon Jul  6 16:47:16 2020,6.214,31.021,31.816,1268.48,96.695359375,0,0.0,0.495,36.94,0
Mon Jul  6 16:47:24 2020,6.214,31.119,31.848,1230.72,96.694265625,0,0.0,0.293,40.49,0
Mon Jul  6 16:47:31 2020,6.211,31.233,32.411,1252.48,96.697757812,0,0.0,0.347,39.49,0
Mon Jul  6 16:47:38 2020,6.212,31.326,33.279,1244.8,96.694539062,0,0.0,0.145,45.57,0
Mon Jul  6 16:47:45 2020,6.214,31.434,33.747,1217.28,96.694335937,0,0.0,0.218,43.26,0
Mon Jul  6 16:47:52 2020,6.215,31.548,33.02,1271.68,96.695378906,0,0.0,0.458,38.45,0
Mon Jul  6 16:47:59 2020,6.214,31.651,30.122,1198.72,96.692511718,0,0.0,0.675,37.56,0
Mon Jul  6 16:48:06 2020,6.211,31.754,27.41,1216.64,96.692222656,0,0.0,0.627,38.09,0
Mon Jul  6 16:48:13 2020,6.212,31.827,25.541,1178.24,96.68971875,0,0.0,0.154,44.6,0
Mon Jul  6 16:48:20 2020,6.218,31.95,27.117,1206.4,96.691109375,0,0.0,0.146,46.07,0
Mon Jul  6 16:48:27 2020,6.215,32.023,28.028,1214.72,96.690074218,0,0.0,0.292,41.84,0
Mon Jul  6 16:48:34 2020,6.212,32.152,30.151,1224.96,96.691796875,0,0.0,0.731,36.89,0
Mon Jul  6 16:48:41 2020,6.216,32.29,28.718,1226.24,96.6949375,0,0.0,0.314,40.18,0
Mon Jul  6 16:48:48 2020,6.212,32.343,29.196,1213.44,96.691988281,0,0.0,0.401,37.86,0
Mon Jul  6 16:48:55 2020,6.213,32.406,29.255,1244.8,96.693226562,0,0.0,0.219,43.18,0
Mon Jul  6 16:49:02 2020,6.213,32.529,28.512,1217.28,96.69425,0,0.0,0.165,44.92,0
Mon Jul  6 16:49:09 2020,6.214,32.597,26.078,1229.44,96.695058593,0,0.0,0.133,46.48,0
Mon Jul  6 16:49:16 2020,6.214,32.686,26.931,1231.36,96.695398437,0,0.0,0.168,45.83,0
Mon Jul  6 16:49:23 2020,6.213,32.774,27.494,1242.24,96.692328125,0,0.0,0.125,46.44,0
Mon Jul  6 16:49:30 2020,6.214,32.852,28.259,1248.0,96.691160156,0,0.0,0.393,38.34,0
Mon Jul  6 16:49:37 2020,6.213,32.96,28.968,1262.72,96.692851562,0,0.0,0.609,36.91,0
Mon Jul  6 16:49:44 2020,6.214,33.028,26.705,1280.0,96.693425781,0,0.0,0.272,42.2,0
Mon Jul  6 16:49:51 2020,6.21,33.121,28.245,1290.24,96.694144531,0,0.0,0.569,38.08,0
Mon Jul  6 16:49:58 2020,6.243,33.184,28.121,1329.92,96.695195312,0,0.0,0.198,43.92,0
Mon Jul  6 16:50:05 2020,6.212,33.282,27.293,1393.92,96.696585937,1,0.00853187379265937,0.568,38.18,0
Mon Jul  6 16:50:13 2020,6.203,33.335,28.012,1452.8,96.694609375,9,0.07689827502821214,0.552,36.92,0
Mon Jul  6 16:50:20 2020,6.212,33.418,28.318,1463.04,96.693351562,0,0.0,0.271,41.2,0
Mon Jul  6 16:50:27 2020,6.217,33.531,27.276,1514.24,96.692171875,0,0.0,0.264,42.44,0
Mon Jul  6 16:50:34 2020,6.214,33.599,28.501,1660.16,96.69275,0,0.0,0.268,41.93,0
Mon Jul  6 16:50:41 2020,6.21,33.652,28.448,1766.4,96.694050781,0,0.0,0.312,39.85,0
