EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Thu Jul 16 01:17:29 2020,2.396,33.345,25.329,33085.44,96.993304687,0,0.0,0.257,39.39,0
Thu Jul 16 01:17:36 2020,6.595,33.393,27.113,11156.48,96.969410156,0,0.0,0.201,41.53,0
Thu Jul 16 01:17:44 2020,6.204,33.577,26.119,12912.64,96.964304687,0,0.0,0.374,37.14,0
Wed Sep 16 19:16:30 2020,5421525.307,33.75,27.128,6632.96,96.978425781,0,0.0,0.419,36.54,0
Wed Sep 16 19:16:37 2020,6.235,33.829,27.755,6842.88,96.975605468,0,0.0,0.491,37.44,0
Wed Sep 16 19:16:44 2020,6.265,33.962,27.131,6842.88,96.979058593,0,0.0,0.281,40.7,0
Wed Sep 16 19:16:51 2020,6.208,34.035,27.728,6827.52,96.974773437,0,0.0,0.36,39.46,0
Wed Sep 16 19:16:58 2020,6.21,34.168,27.421,6817.28,96.974019531,0,0.0,0.271,41.96,0
Wed Sep 16 19:17:05 2020,6.21,34.302,26.501,6850.56,96.975839843,0,0.0,0.283,41.89,0
Wed Sep 16 19:17:12 2020,6.414,34.355,26.487,6878.72,96.972675781,0,0.0,0.285,42.09,0
Wed Sep 16 19:17:19 2020,6.206,34.403,26.907,6873.6,96.971886718,0,0.0,0.303,41.88,0
Wed Sep 16 19:17:26 2020,6.209,34.506,28.578,6835.2,96.973273437,0,0.0,0.174,45.95,0
Wed Sep 16 19:17:33 2020,6.21,34.624,27.539,6819.84,96.972148437,0,0.0,0.337,41.38,0
Wed Sep 16 19:17:40 2020,6.206,34.697,29.118,6832.64,96.972566406,0,0.0,0.28,42.27,0
Wed Sep 16 19:17:47 2020,6.21,34.795,30.258,6868.48,96.973035156,0,0.0,0.458,39.25,0
