EarthPod Sensor Log
Created: Mon Jul  6 01:06:24 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Error
Mon Jul  6 01:06:26 2020,2.278,35.357,32.093,68.4,96.267289062,0,0.0,0.158,0
Mon Jul  6 01:06:34 2020,6.47,35.39,33.419,76.24,96.26965625,0,0.0,0.183,0
Mon Jul  6 01:06:41 2020,6.213,35.407,33.872,59.72,96.265289062,153,1.3051665861902462,10.838,0
Mon Jul  6 01:06:48 2020,6.217,35.379,34.289,58.68,96.270199218,287,2.446678462280843,4.99,0
Mon Jul  6 01:06:55 2020,6.22,35.422,34.73,53.24,96.268226562,265,2.258038585209003,4.379,0
Mon Jul  6 01:07:02 2020,6.217,35.415,34.521,103.44,96.269730468,99,0.8439761943059353,0.1,0
Mon Jul  6 01:07:09 2020,6.217,35.518,32.63,103.44,96.267496093,0,0.0,0.182,0
Mon Jul  6 01:07:16 2020,6.263,35.475,31.726,103.68,96.266292968,1,0.008462398211719622,0.165,0
Mon Jul  6 01:07:23 2020,6.216,35.457,32.044,102.56,96.267996093,0,0.0,0.123,0
Mon Jul  6 01:07:30 2020,6.215,35.48,32.272,106.08,96.264960937,0,0.0,0.135,0
Mon Jul  6 01:07:37 2020,6.216,35.548,32.557,105.68,96.266195312,0,0.0,0.101,0
Mon Jul  6 01:07:44 2020,6.214,35.566,32.382,105.68,96.264859375,0,0.0,0.13,0
Mon Jul  6 01:07:51 2020,6.216,35.639,32.185,105.36,96.265089843,0,0.0,0.123,0
Mon Jul  6 01:07:58 2020,6.216,35.606,32.675,105.36,96.264457031,0,0.0,0.102,0
Mon Jul  6 01:08:05 2020,6.214,35.619,31.556,105.6,96.267757812,0,0.0,0.15,0
Mon Jul  6 01:08:12 2020,6.216,35.626,32.26,104.96,96.266589843,0,0.0,0.1,0
Mon Jul  6 01:08:19 2020,6.217,35.664,32.276,88.96,96.266023437,1,0.008525012063696318,0.277,0
Mon Jul  6 01:08:26 2020,6.215,35.626,33.755,82.96,96.267292968,0,0.0,0.162,0
Mon Jul  6 01:08:33 2020,6.215,35.604,32.456,58.4,96.268464843,0,0.0,0.284,0
Mon Jul  6 01:08:40 2020,6.214,35.556,32.446,52.16,96.2660625,0,0.0,0.345,0
Mon Jul  6 01:08:47 2020,6.222,35.447,33.116,103.04,96.266792968,1,0.008518161362905818,0.195,0
Mon Jul  6 01:08:55 2020,6.214,35.349,33.145,79.12,96.268792968,0,0.0,0.117,0
