EarthPod Sensor Log
Created: Mon Jul  6 02:28:41 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Mon Jul  6 02:28:43 2020,2.705,33.982,40.528,236.48,96.221964843,20,0.3918669131238447,5.8,3142,0
Mon Jul  6 02:28:51 2020,6.638,33.884,39.648,237.76,96.222253906,234,1.8683338354926182,5.645,3138,0
Mon Jul  6 02:28:58 2020,6.231,33.841,39.75,236.8,96.219945312,255,2.1689937409725566,5.945,3127,0
Mon Jul  6 02:29:17 2020,18.925,33.773,40.264,236.48,96.224332031,241,0.6749273447820343,5.787,3109,0
Mon Jul  6 02:29:25 2020,6.225,33.715,40.486,235.36,96.221632812,242,2.0604016064257027,5.766,3112,0
Mon Jul  6 02:29:32 2020,6.234,33.657,39.813,233.92,96.220609375,258,2.1934552454282965,5.928,3112,0
Mon Jul  6 02:29:39 2020,6.23,33.594,40.534,231.84,96.220855468,271,2.3054574638844296,6.087,3101,0
Mon Jul  6 02:29:46 2020,6.226,33.536,40.093,231.52,96.222726562,253,2.153710247349823,6.157,3086,0
Mon Jul  6 02:29:53 2020,6.22,33.458,40.513,229.28,96.220460937,230,1.959807073954984,5.729,3074,0
Mon Jul  6 02:30:00 2020,6.222,33.406,39.996,228.0,96.222371093,233,1.9847315975570554,6.011,3058,0
Mon Jul  6 02:30:07 2020,6.229,33.383,40.773,221.44,96.221433593,242,2.0590785037726764,5.768,3080,0
Mon Jul  6 02:30:14 2020,6.228,33.335,40.029,221.76,96.218675781,251,2.1359987154784843,5.84,3078,0
Mon Jul  6 02:30:21 2020,6.224,33.277,40.495,226.56,96.223351562,243,2.0692480719794344,6.07,3080,0
Mon Jul  6 02:30:28 2020,6.234,33.194,40.643,223.52,96.223625,238,2.0234199550850174,5.476,3084,0
Mon Jul  6 02:30:35 2020,6.226,33.207,39.796,222.24,96.22453125,230,1.9579184066816577,5.729,3072,0
Mon Jul  6 02:30:42 2020,6.226,33.124,40.753,228.48,96.224457031,240,2.043045293928686,5.703,3054,0
Mon Jul  6 02:30:49 2020,6.23,33.046,40.589,220.8,96.226296875,238,2.0247191011235954,5.56,3084,0
Mon Jul  6 02:30:56 2020,6.226,33.008,40.698,208.64,96.224457031,247,2.102634115001606,5.7,3098,0
Mon Jul  6 02:31:03 2020,6.225,32.955,41.786,217.44,96.224613281,224,1.90714859437751,5.452,3111,0
Mon Jul  6 02:31:10 2020,6.23,32.917,41.229,210.08,96.225984375,216,1.837560192616372,5.244,3093,0
Mon Jul  6 02:31:17 2020,6.229,32.889,41.02,208.96,96.226,233,1.982501204045593,5.635,3072,0
Mon Jul  6 02:31:24 2020,6.225,32.857,40.85,204.48,96.223570312,246,2.0944578313253013,3.935,3059,0
Mon Jul  6 02:31:32 2020,6.226,32.834,43.15,212.0,96.225085937,10,0.08512688724702859,0.125,4060,0
Mon Jul  6 02:31:39 2020,6.226,32.897,42.233,210.4,96.223746093,0,0.0,0.12,4127,0
Mon Jul  6 02:31:46 2020,6.226,32.985,40.623,210.4,96.224777343,0,0.0,0.099,4233,0
Mon Jul  6 02:31:53 2020,6.227,33.063,42.614,207.68,96.227210937,0,0.0,0.12,4215,0
Mon Jul  6 02:32:00 2020,6.222,33.181,41.102,198.72,96.22690625,0,0.0,0.142,4156,0
Mon Jul  6 02:32:07 2020,6.228,33.204,41.326,182.4,96.227566406,0,0.0,0.085,4374,0
Mon Jul  6 02:32:14 2020,6.232,33.257,42.018,194.08,96.227121093,0,0.0,0.129,4246,0
Mon Jul  6 02:32:21 2020,6.222,33.265,42.666,198.24,96.225550781,0,0.0,0.118,4344,0
Mon Jul  6 02:32:28 2020,6.221,33.358,41.102,197.44,96.22471875,0,0.0,0.118,4348,0
Mon Jul  6 02:32:35 2020,6.23,33.411,40.109,198.72,96.226976562,0,0.0,0.143,4229,0
Mon Jul  6 02:32:42 2020,6.225,33.474,40.956,194.24,96.225410156,0,0.0,0.126,4353,0
Mon Jul  6 02:32:49 2020,6.221,33.516,39.27,184.8,96.226273437,0,0.0,0.129,4336,0
Mon Jul  6 02:32:56 2020,6.229,33.579,39.997,193.76,96.229066406,0,0.0,0.171,4236,0
Mon Jul  6 02:33:03 2020,6.226,33.592,39.443,192.32,96.228414062,0,0.0,0.209,4116,0
Mon Jul  6 02:33:10 2020,6.228,33.554,39.558,188.8,96.226992187,0,0.0,0.129,4357,0
Mon Jul  6 02:33:17 2020,6.231,33.627,39.993,193.6,96.225289062,0,0.0,0.123,4397,0
Mon Jul  6 02:33:24 2020,6.225,33.655,39.906,190.72,96.22428125,0,0.0,0.156,4307,0
Mon Jul  6 02:33:31 2020,6.229,33.713,39.44,192.8,96.226070312,0,0.0,0.201,4128,0
Mon Jul  6 02:33:38 2020,6.232,33.735,39.14,186.08,96.222726562,0,0.0,0.215,4083,0
Mon Jul  6 02:33:46 2020,6.225,33.783,39.682,195.2,96.217683593,5,0.04257028112449799,0.443,3559,0
Mon Jul  6 02:33:53 2020,6.228,33.74,40.553,193.28,96.223460937,351,2.9869942196531793,1.647,3264,0
Mon Jul  6 02:34:00 2020,6.23,33.587,41.07,127.2,96.222859375,479,4.074959871589084,4.219,3176,0
Mon Jul  6 02:34:07 2020,6.231,33.423,42.408,142.0,96.222234375,391,3.325790402824587,2.588,3190,0
Mon Jul  6 02:34:14 2020,6.23,33.315,41.488,143.28,96.221792968,481,4.091974317817014,4.554,3107,0
Mon Jul  6 02:34:21 2020,6.231,33.121,41.111,143.84,96.218992187,462,3.929706307173808,4.281,3084,0
Mon Jul  6 02:34:28 2020,6.234,33.003,41.021,144.08,96.222101562,452,3.8427975617581005,4.415,3086,0
Mon Jul  6 02:34:35 2020,6.228,32.915,41.136,142.88,96.222175781,449,3.82096981374438,4.495,3064,0
Mon Jul  6 02:34:42 2020,6.23,32.736,41.571,142.08,96.2215,465,3.955858747993579,4.457,3044,0
Mon Jul  6 02:34:49 2020,6.229,32.612,41.218,142.0,96.224082031,472,4.016053941242575,4.521,3024,0
Mon Jul  6 02:34:56 2020,6.233,32.484,41.186,141.36,96.220644531,470,3.9964703994866038,4.307,3020,0
Mon Jul  6 02:35:03 2020,6.229,32.336,41.648,140.88,96.22409375,440,3.743779097768502,4.06,3042,0
Mon Jul  6 02:35:10 2020,6.23,32.268,43.588,139.52,96.219832031,461,3.92182985553772,4.271,3033,0
Mon Jul  6 02:35:17 2020,6.23,32.195,43.174,128.48,96.226644531,446,3.7942215088282496,4.204,3032,0
Mon Jul  6 02:35:24 2020,6.23,32.111,42.907,122.96,96.226804687,455,3.8707865168539324,4.476,3026,0
Mon Jul  6 02:35:31 2020,6.229,32.018,41.877,121.92,96.220941406,484,4.118157007545353,4.445,3016,0
Mon Jul  6 02:35:38 2020,6.228,31.935,42.822,124.64,96.226101562,443,3.7699100834938983,4.36,3014,0
