EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:17:28 2020,2.276,-40.0,35.583,11904.0,95.824664062,1.187609841827768
Wed Jun 24 01:17:36 2020,7.271,30.548,35.612,11489.28,95.824242187,2.369000137532664
Wed Jun 24 01:17:43 2020,6.93,30.561,36.462,11714.56,95.829203125,2.240836940836941
Wed Jun 24 01:17:50 2020,6.933,30.618,34.944,11581.44,95.828433593,2.622097216212318
Wed Jun 24 01:17:57 2020,6.932,30.661,35.189,11632.64,95.82409375,1.773802654356607
Wed Jun 24 01:18:03 2020,6.923,30.598,35.981,11366.4,95.826113281,1.3167701863354038
Wed Jun 24 01:18:10 2020,6.92,30.561,35.943,11494.4,95.828519531,2.190462427745665
Wed Jun 24 01:18:17 2020,6.921,30.508,36.851,11402.24,95.822785156,2.220777344314405
Wed Jun 24 01:18:24 2020,6.928,30.556,35.321,11217.92,95.822898437,2.0196304849884523
Wed Jun 24 01:18:31 2020,6.929,30.573,34.974,11018.24,95.830703125,2.294703420406985
Wed Jun 24 01:18:38 2020,6.928,30.626,37.384,11233.28,95.827445312,2.088481524249423
Wed Jun 24 01:18:45 2020,6.929,30.704,33.708,11801.6,95.830417968,2.4859287054409003
Wed Jun 24 01:18:52 2020,6.922,30.747,37.265,11709.44,95.829101562,1.960127130887027
Wed Jun 24 01:18:59 2020,6.931,30.8,36.21,11489.28,95.839960937,3.731640455922666
Wed Jun 24 01:19:06 2020,6.931,30.666,36.499,11489.28,95.832964843,3.318713028423027
Wed Jun 24 01:19:13 2020,6.926,30.704,35.997,11827.2,95.828082031,3.5047646549234766
Wed Jun 24 01:19:20 2020,6.924,30.621,39.083,11770.88,95.826734375,3.3909589832466778
Wed Jun 24 01:19:27 2020,6.922,30.618,37.26,11612.16,95.834292968,3.7824328228835595
Wed Jun 24 01:19:33 2020,6.923,30.46,35.171,11648.0,95.828410156,3.521594684385382
Wed Jun 24 01:19:40 2020,6.923,30.508,34.779,11673.6,95.829574218,3.468005200057778
Wed Jun 24 01:19:47 2020,6.923,30.49,34.704,11704.32,95.833355468,3.2459916221291345
