EarthPod Sensor Log
Created: Tue Jun 16 23:11:00 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (counts/step)
Tue Jun 16 23:11:03 2020,2.241,34.967,28.689,89.84,96.299042968,0
Tue Jun 16 23:11:08 2020,5.194,34.687,29.756,94.0,96.301789062,18
Tue Jun 16 23:11:13 2020,4.966,34.669,32.415,93.52,96.301464843,188
Tue Jun 16 23:11:18 2020,4.961,34.687,32.411,93.04,96.300875,238
Tue Jun 16 23:11:23 2020,4.958,34.77,30.938,99.68,96.300386718,95
Tue Jun 16 23:11:28 2020,4.958,34.823,29.484,98.8,96.299546875,71
Tue Jun 16 23:11:33 2020,4.96,34.831,30.014,99.6,96.301183593,181
Tue Jun 16 23:11:38 2020,4.961,34.848,33.445,99.52,96.302777343,137
Tue Jun 16 23:11:42 2020,4.96,34.901,30.511,101.36,96.2986875,8
Tue Jun 16 23:11:47 2020,4.957,34.873,29.014,150.56,96.301523437,2
Tue Jun 16 23:11:52 2020,4.956,34.891,27.996,150.88,96.2998125,0
Tue Jun 16 23:11:57 2020,4.957,34.894,28.215,149.6,96.299601562,0
Tue Jun 16 23:12:02 2020,4.957,34.906,29.019,86.96,96.296941406,0
Tue Jun 16 23:12:07 2020,4.956,34.878,29.496,91.76,96.298949218,1
Tue Jun 16 23:12:12 2020,4.955,34.846,29.449,82.16,96.298519531,0
Tue Jun 16 23:12:17 2020,4.958,34.919,29.838,64.08,96.296855468,4
Tue Jun 16 23:12:22 2020,4.961,34.871,30.358,58.92,96.298621093,9
Tue Jun 16 23:12:27 2020,4.959,34.873,29.228,67.84,96.296957031,10
Tue Jun 16 23:12:32 2020,4.961,34.871,29.36,56.76,96.297128906,0
Tue Jun 16 23:12:37 2020,4.96,34.848,29.896,58.68,96.295019531,14
Tue Jun 16 23:12:42 2020,4.957,34.881,30.09,71.92,96.294628906,0
Tue Jun 16 23:12:47 2020,4.96,34.848,29.185,82.48,96.296054687,0
Tue Jun 16 23:12:52 2020,4.957,34.866,29.702,112.16,96.297519531,0
Tue Jun 16 23:12:57 2020,4.958,34.863,28.877,64.76,96.294285156,0
Tue Jun 16 23:13:02 2020,4.958,34.886,30.993,78.08,96.292375,12
Tue Jun 16 23:13:07 2020,4.957,34.873,30.561,74.8,96.294179687,0
Tue Jun 16 23:13:12 2020,4.965,34.826,30.383,73.52,96.29371875,43
Tue Jun 16 23:13:17 2020,4.959,34.868,29.219,66.48,96.293882812,0
Tue Jun 16 23:13:22 2020,4.96,34.881,29.913,72.44,96.295027343,0
Tue Jun 16 23:13:27 2020,4.958,34.899,29.624,75.68,96.296191406,0
Tue Jun 16 23:13:32 2020,4.96,34.921,30.816,76.72,96.297992187,20
Tue Jun 16 23:13:37 2020,4.958,34.687,32.53,77.92,96.297824218,46
Tue Jun 16 23:13:42 2020,4.959,34.549,31.222,64.72,96.295476562,3
Tue Jun 16 23:13:46 2020,4.96,34.682,30.906,68.88,96.2929375,1
Tue Jun 16 23:13:51 2020,4.959,34.629,31.515,78.0,96.29528125,0
Tue Jun 16 23:13:56 2020,4.956,34.712,31.01,75.2,96.294183593,0
Tue Jun 16 23:14:01 2020,4.962,34.654,32.913,74.4,96.300414062,84
Tue Jun 16 23:14:06 2020,4.962,34.501,33.049,77.2,96.297769531,45
Tue Jun 16 23:14:11 2020,4.959,34.624,31.738,70.88,96.294777343,0
Tue Jun 16 23:14:16 2020,4.959,34.556,29.969,73.44,96.292984375,0
Tue Jun 16 23:14:21 2020,4.956,34.594,30.67,65.52,96.290917968,0
Tue Jun 16 23:14:26 2020,4.96,34.637,30.802,55.32,96.293269531,0
Tue Jun 16 23:14:31 2020,4.96,34.659,29.534,55.04,96.290941406,0
Tue Jun 16 23:14:36 2020,4.959,34.677,29.942,54.8,96.290207031,0
Tue Jun 16 23:14:41 2020,4.958,34.68,30.288,52.8,96.290746093,18
Tue Jun 16 23:14:46 2020,4.96,34.642,33.128,51.88,96.295640625,52
Tue Jun 16 23:14:51 2020,4.96,34.639,32.656,51.76,96.296667968,52
Tue Jun 16 23:14:56 2020,4.961,34.596,34.251,52.0,96.294035156,69
