EarthPod Sensor Log
Created: Wed May 20 01:33:06 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa)
Wed May 20 01:33:06 2020,0.14,-40.0,31.124,57.64,96.463308593
Wed May 20 01:33:13 2020,6.231,30.77,30.735,47.8,96.460324218
Wed May 20 01:33:19 2020,5.898,30.732,33.935,182.4,96.459230468
Wed May 20 01:33:25 2020,5.898,30.739,32.872,189.44,96.461839843
Wed May 20 02:00:02 2020,1597.137,30.792,32.617,445.12,96.4613125
Wed May 20 02:00:08 2020,5.898,30.664,31.297,125.68,96.459707031
Wed May 20 02:00:13 2020,5.894,30.712,32.94,125.36,96.460734375
Wed May 20 02:00:19 2020,5.899,30.744,33.1,173.12,96.453640625
Wed May 20 02:00:25 2020,5.897,30.702,32.604,383.52,96.45746875
Wed May 20 02:00:31 2020,5.903,30.634,32.432,573.76,96.457699218
Wed May 20 02:00:37 2020,5.903,30.626,32.662,669.44,96.462148437
Wed May 20 02:00:43 2020,5.898,30.588,33.921,648.32,96.463664062
Wed May 20 02:00:49 2020,5.895,30.686,34.017,283.2,96.460402343
Wed May 20 02:00:55 2020,5.897,30.795,32.484,762.24,96.461910156
Wed May 20 02:01:01 2020,5.898,30.827,31.555,778.24,96.461183593
Wed May 20 02:01:07 2020,5.902,30.9,33.293,796.8,96.458621093
Wed May 20 02:01:12 2020,5.903,30.963,32.391,906.88,96.459523437
Wed May 20 02:01:18 2020,5.9,30.961,32.179,897.92,96.46034375
Wed May 20 02:01:24 2020,5.903,30.973,32.653,912.64,96.460382812
Wed May 20 02:01:30 2020,5.904,31.067,31.849,860.16,96.460859375
Wed May 20 02:01:36 2020,5.903,30.989,31.75,534.4,96.459078125
Wed May 20 02:01:42 2020,5.896,31.021,29.789,412.16,96.462949218
Wed May 20 02:01:48 2020,5.897,31.099,31.716,415.36,96.461402343
Wed May 20 02:01:54 2020,5.896,31.132,31.242,177.76,96.456722656
Wed May 20 02:02:00 2020,5.897,31.135,33.615,376.64,96.457042968
Wed May 20 02:02:06 2020,5.9,31.243,31.813,256.64,96.46
Wed May 20 02:02:11 2020,5.897,31.23,35.635,247.04,96.461972656
Wed May 20 02:02:17 2020,5.897,31.323,31.251,458.24,96.460890625
Wed May 20 02:02:23 2020,5.903,31.22,30.554,186.72,96.460835937
Wed May 20 02:02:29 2020,5.902,31.369,31.947,309.92,96.45775
Wed May 20 02:02:35 2020,5.904,31.341,32.348,471.04,96.458527343
Wed May 20 02:02:41 2020,5.898,31.359,32.539,26.22,96.461648437
Wed May 20 02:02:47 2020,5.898,31.366,31.225,11.02,96.460949218
Wed May 20 02:02:53 2020,5.9,32.552,27.287,5.45,96.4590625
Wed May 20 02:02:59 2020,5.905,33.97,26.199,5.56,96.456644531
Wed May 20 02:03:05 2020,5.899,35.276,24.125,6.02,96.456289062
Wed May 20 02:03:10 2020,5.899,36.185,24.285,6.04,96.459289062
Wed May 20 02:03:16 2020,5.9,36.807,22.865,5.9,96.450902343
Wed May 20 02:03:22 2020,5.906,37.399,23.239,5.73,96.449722656
Wed May 20 02:03:28 2020,5.902,37.91,22.337,5.59,96.455261718
Wed May 20 02:03:34 2020,5.904,38.365,22.286,5.5,96.451777343
Wed May 20 02:03:40 2020,5.899,38.766,21.257,5.47,96.456304687
Wed May 20 02:03:46 2020,5.9,39.186,20.983,5.35,96.451652343
Wed May 20 02:03:52 2020,5.899,39.491,20.704,5.33,96.452429687
Wed May 20 02:03:58 2020,5.899,39.775,21.038,5.15,96.453222656
Wed May 20 02:04:04 2020,5.899,40.05,20.637,5.14,96.4485625
Wed May 20 02:04:09 2020,5.899,40.254,20.504,5.1,96.449347656
Wed May 20 02:04:15 2020,5.904,40.412,19.77,5.09,96.447242187
Wed May 20 02:04:21 2020,5.904,40.586,20.559,5.1,96.448792968
Wed May 20 02:04:27 2020,5.911,40.714,20.249,5.07,96.450242187
Wed May 20 02:04:33 2020,5.915,40.868,20.562,5.08,96.450417968
Wed May 20 02:04:39 2020,5.907,40.976,19.593,5.09,96.454542968
Wed May 20 02:04:45 2020,5.895,41.145,19.897,5.06,96.44890625
Wed May 20 02:04:51 2020,5.887,41.228,19.419,5.01,96.446996093
Wed May 20 02:04:57 2020,5.898,41.331,19.583,4.98,96.449074218
Wed May 20 02:05:03 2020,5.898,41.419,19.676,5.0,96.452664062
Wed May 20 02:05:08 2020,5.909,41.558,18.518,5.03,96.454472656
